7.2.0.006,8.0.0,Transition notes
Zone Electric Equipment Convective Heat Gain,Zone Electric Equipment Convective Heating Energy,
Zone Electric Equipment Convective Heat Gain Rate,Zone Electric Equipment Convective Heating Rate,
Zone Electric Equipment Electric Consumption,Zone Electric Equipment Electric Energy,
Zone Electric Equipment Latent Heat Gain,Zone Electric Equipment Latent Gain Energy,
Zone Electric Equipment Latent Heat Gain Rate,Zone Electric Equipment Latent Gain Rate,
Zone Electric Equipment Lost Heat Gain,Zone Electric Equipment Lost Heat Energy,
Zone Electric Equipment Lost Heat Gain Rate,Zone Electric Equipment Lost Heat Rate,
Zone Electric Equipment Radiant Heat Gain,Zone Electric Equipment Radiant Heating Energy,
Zone Electric Equipment Radiant Heat Gain Rate,Zone Electric Equipment Radiant Heating Rate,
Zone Electric Equipment Total Heat Gain,Zone Electric Equipment Total Heating Energy,
Zone Electric Equipment Total Heat Gain Rate,Zone Electric Equipment Total Heating Rate,
Zone Gas Equipment Convective Heat Gain,Zone Gas Equipment Convective Heating Energy,
Zone Gas Equipment Convective Heat Gain Rate,Zone Gas Equipment Convective Heating Rate,
Zone Gas Equipment Gas Consumption,Zone Gas Equipment Gas Energy,
Zone Gas Equipment Gas Consumption Rate,Zone Gas Equipment Gas Rate,
Zone Gas Equipment Latent Heat Gain,Zone Gas Equipment Latent Gain Energy,
Zone Gas Equipment Latent Heat Gain Rate,Zone Gas Equipment Latent Gain Rate,
Zone Gas Equipment Lost Heat Gain,Zone Gas Equipment Lost Heat Energy,
Zone Gas Equipment Lost Heat Gain Rate,Zone Gas Equipment Lost Heat Rate,
Zone Gas Equipment Radiant Heat Gain,Zone Gas Equipment Radiant Heating Energy,
Zone Gas Equipment Radiant Heat Gain Rate,Zone Gas Equipment Radiant Heating Rate,
Zone Gas Equipment Total Heat Gain,Zone Gas Equipment Total Heating Energy,
Zone Gas Equipment Total Heat Gain Rate,Zone Gas Equipment Total Heating Rate,
Zone Generic Contaminant Source and Sink Rate,Zone Generic Air Contaminant Generation Volume Flow Rate,
Zone Hot Water Equipment Convective Heat Gain,Zone Hot Water Equipment Convective Heating Energy,
Zone Hot Water Equipment Convective Heat Gain Rate,Zone Hot Water Equipment Convective Heating Rate,
Zone Hot Water Equipment District Heating Consumption,Zone Hot Water Equipment District Heating Energy,
Zone Hot Water Equipment District Heating Consumption Rate,Zone Hot Water Equipment District Heating Rate,
Zone Hot Water Equipment Latent Heat Gain,Zone Hot Water Equipment Latent Gain Energy,
Zone Hot Water Equipment Latent Heat Gain Rate,Zone Hot Water Equipment Latent Gain Rate,
Zone Hot Water Equipment Lost Heat Gain,Zone Hot Water Equipment Lost Heat Energy,
Zone Hot Water Equipment Lost Heat Gain Rate,Zone Hot Water Equipment Lost Heat Rate,
Zone Hot Water Equipment Radiant Heat Gain,Zone Hot Water Equipment Radiant Heating Energy,
Zone Hot Water Equipment Radiant Heat Gain Rate,Zone Hot Water Equipment Radiant Heating Rate,
Zone Hot Water Equipment Total Heat Gain,Zone Hot Water Equipment Total Heating Energy,
Zone Hot Water Equipment Total Heat Gain Rate,Zone Hot Water Equipment Total Heating Rate,
Zone Infiltration Latent Heat Gain,Zone Infiltration Latent Heat Gain Energy,
Zone Infiltration Latent Heat Loss,Zone Infiltration Latent Heat Loss Energy,
Zone Infiltration Sensible Heat Gain,Zone Infiltration Sensible Heat Gain Energy,
Zone Infiltration Sensible Heat Loss,Zone Infiltration Sensible Heat Loss Energy,
Zone Infiltration Total Heat Gain,Zone Infiltration Total Heat Gain Energy,
Zone Infiltration Total Heat Loss,Zone Infiltration Total Heat Loss Energy,
Zone Infiltration Volume Current Density,Zone Infiltration Current Density Volume,
Zone Infiltration Volume Flow Rate Current Density,Zone Infiltration Current Density Volume Flow Rate,
Zone Infiltration Volume Flow Rate Standard Density,Zone Infiltration Standard Density Volume Flow Rate,
Zone Infiltration Volume Standard Density,Zone Infiltration Standard Density Volume,
Zone Lights Convective Heat Gain,Zone Lights Convective Heating Energy,
Zone Lights Convective Heat Gain Rate,Zone Lights Convective Heating Rate,
Zone Lights Electric Consumption,Zone Lights Electric Energy,
Zone Lights Radiant Heat Gain,Zone Lights Radiant Heating Energy,
Zone Lights Radiant Heat Gain Rate,Zone Lights Radiant Heating Rate,
Zone Lights Return Air Heat Gain,Zone Lights Return Air Heating Energy,
Zone Lights Return Air Heat Gain Rate,Zone Lights Return Air Heating Rate,
Zone Lights Total Heat Gain,Zone Lights Total Heating Energy,
Zone Lights Total Heat Gain Rate,Zone Lights Total Heating Rate,
Zone Lights Visible Heat Gain,Zone Lights Visible Radiation Heating Energy,
Zone Lights Visible Heat Gain Rate,Zone Lights Visible Radiation Heating Rate,
Zone Mech Ventilation Cooling Load Increase: OverHeating,Zone Mechanical Ventilation Cooling Load Increase Due to Overheating Energy,
Zone Mech Ventilation Heating Load Increase: OverCooling,Zone Mechanical Ventilation Heating Load Increase Due to Overcooling Energy,
Zone Mechanical Ventilation Air Change Rate,Zone Mechanical Ventilation Air Changes per Hour,
Zone Mechanical Ventilation Cooling Load Decrease,Zone Mechanical Ventilation Cooling Load Decrease Energy,
Zone Mechanical Ventilation Cooling Load Increase,Zone Mechanical Ventilation Cooling Load Increase Energy,
Zone Mechanical Ventilation Heating Load Decrease,Zone Mechanical Ventilation Heating Load Decrease Energy,
Zone Mechanical Ventilation Heating Load Increase,Zone Mechanical Ventilation Heating Load Increase Energy,
Zone Mechanical Ventilation No Load Heat Addition,Zone Mechanical Ventilation No Load Heat Addition Energy,
Zone Mechanical Ventilation No Load Heat Removal,Zone Mechanical Ventilation No Load Heat Removal Energy,
Zone Mechanical Ventilation Volume Current Density,Zone Mechanical Ventilation Current Density Volume,
Zone Mechanical Ventilation Volume Flow Rate Current Density,Zone Mechanical Ventilation Current Density Volume Flow Rate,
Zone Mechanical Ventilation Volume Flow Rate Standard Density,Zone Mechanical Ventilation Standard Density Volume Flow Rate,
Zone Mechanical Ventilation Volume Standard Density,Zone Mechanical Ventilation Standard Density Volume,
Zone Mixing Latent Heat Gain,Zone Mixing Latent Heat Gain Energy,
Zone Mixing Latent Heat Loss,Zone Mixing Latent Heat Loss Energy,
Zone Mixing Sensible Heat Gain,Zone Mixing Sensible Heat Gain Energy,
Zone Mixing Sensible Heat Loss,Zone Mixing Sensible Heat Loss Energy,
Zone Mixing Total Heat Gain,Zone Mixing Total Heat Gain Energy,
Zone Mixing Total Heat Loss,Zone Mixing Total Heat Loss Energy,
Zone Opaque Surface Inside Face Conduction Gain,Zone Opaque Surface Inside Faces Total Conduction Heat Gain Rate,
Zone Opaque Surface Inside Face Conduction Gain Energy,Zone Opaque Surface Inside Faces Total Conduction Heat Gain Energy,
Zone Opaque Surface Inside Face Conduction Loss,Zone Opaque Surface Inside Faces Total Conduction Heat Loss Rate,
Zone Opaque Surface Inside Face Conduction Loss Energy,Zone Opaque Surface Inside Faces Total Conduction Heat Loss Energy,
Zone Other Equipment Convective Heat Gain,Zone Other Equipment Convective Heating Energy,
Zone Other Equipment Convective Heat Gain Rate,Zone Other Equipment Convective Heating Rate,
Zone Other Equipment Latent Heat Gain,Zone Other Equipment Latent Gain Energy,
Zone Other Equipment Latent Heat Gain Rate,Zone Other Equipment Latent Gain Rate,
Zone Other Equipment Lost Heat Gain,Zone Other Equipment Lost Heat Energy,
Zone Other Equipment Lost Heat Gain Rate,Zone Other Equipment Lost Heat Rate,
Zone Other Equipment Radiant Heat Gain,Zone Other Equipment Radiant Heating Energy,
Zone Other Equipment Radiant Heat Gain Rate,Zone Other Equipment Radiant Heating Rate,
Zone Other Equipment Total Heat Gain,Zone Other Equipment Total Heating Energy,
Zone Other Equipment Total Heat Gain Rate,Zone Other Equipment Total Heating Rate,
Zone Outdoor Dry Bulb,Zone Outdoor Air Drybulb Temperature,
Zone Outdoor Wet Bulb,Zone Outdoor Air Wetbulb Temperature,
Zone Outdoor Wind Speed,Zone Outdoor Air Wind Speed,
Zone People Convective Heat Gain,Zone People Convective Heating Energy,
Zone People Convective Heat Gain Rate,Zone People Convective Heating Rate,
Zone People Latent Heat Gain,Zone People Latent Gain Energy,
Zone People Latent Heat Gain Rate,Zone People Latent Gain Rate,
Zone People Number Of Occupants,Zone People Occupant Count,
Zone People Radiant Heat Gain,Zone People Radiant Heating Energy,
Zone People Radiant Heat Gain Rate,Zone People Radiant Heating Rate,
Zone People Sensible Heat Gain,Zone People Sensible Heating Energy,
Zone People Sensible Heat Gain Rate,Zone People Sensible Heating Rate,
Zone People Total Heat Gain,Zone People Total Heating Energy,
Zone People Total Heat Gain Rate,Zone People Total Heating Rate,
Zone Refrigeration Heating Energy,Refrigeration Zone Case and Walk In Heating Energy,
Zone Refrigeration Heating Rate,Refrigeration Zone Case and Walk In Heating Rate,
Zone Refrigeration Sensible Cooling Energy,Refrigeration Zone Case and Walk In Sensible Cooling Energy,
Zone Refrigeration Sensible Cooling Rate,Refrigeration Zone Case and Walk In Sensible Cooling Rate,
Zone Refrigeration Total Cooling Energy,Refrigeration Zone Case and Walk In Total Cooling Energy,
Zone Refrigeration Total Cooling Rate,Refrigeration Zone Case and Walk In Total Cooling Rate,
Zone Refrigeration: Total Heat Transfer Energy,Refrigeration Zone Case and Walk In Total Heat Transfer Energy,
Zone Refrigeration: Total Heat Transfer Rate,Refrigeration Zone Case and Walk In Total Heat Transfer Rate,
Zone Refrigeration: Total Latent Heat Transfer Energy,Refrigeration Zone Case and Walk In Total Latent Cooling Energy,
Zone Refrigeration: Total Latent Heat Transfer Rate,Refrigeration Zone Case and Walk In Total Latent Cooling Rate,
Zone Refrigeration: Total Sensible Heat Transfer Energy,Refrigeration Zone Case and Walk In Total Sensible Cooling Energy,
Zone Refrigeration: Total Sensible Heat Transfer Rate,Refrigeration Zone Case and Walk In Total Sensible Cooling Rate,
Zone Steam Equipment Convective Heat Gain,Zone Steam Equipment Convective Heating Energy,
Zone Steam Equipment Convective Heat Gain Rate,Zone Steam Equipment Convective Heating Rate,
Zone Steam Equipment District Heating Consumption,Zone Steam Equipment District Heating Energy,
Zone Steam Equipment District Heating Consumption Rate,Zone Steam Equipment District Heating Rate,
Zone Steam Equipment Latent Heat Gain,Zone Steam Equipment Latent Gain Energy,
Zone Steam Equipment Latent Heat Gain Rate,Zone Steam Equipment Latent Gain Rate,
Zone Steam Equipment Lost Heat Gain,Zone Steam Equipment Lost Heat Energy,
Zone Steam Equipment Lost Heat Gain Rate,Zone Steam Equipment Lost Heat Rate,
Zone Steam Equipment Radiant Heat Gain,Zone Steam Equipment Radiant Heating Energy,
Zone Steam Equipment Radiant Heat Gain Rate,Zone Steam Equipment Radiant Heating Rate,
Zone Steam Equipment Total Heat Gain,Zone Steam Equipment Total Heating Energy,
Zone Steam Equipment Total Heat Gain Rate,Zone Steam Equipment Total Heating Rate,
Zone Terminal Unit Cooling Electric Consumption,Zone VRF Air Terminal Cooling Electric Energy,
Zone Terminal Unit Cooling Electric Consumption Rate,Zone VRF Air Terminal Cooling Electric Power,
Zone Terminal Unit Fan Availability Status,Zone VRF Air Terminal Fan Availability Status,
Zone Terminal Unit Heating Electric Consumption,Zone VRF Air Terminal Heating Electric Energy,
Zone Terminal Unit Heating Electric Consumption Rate,Zone VRF Air Terminal Heating Electric Power,
Zone Terminal Unit Latent Cooling Energy,Zone VRF Air Terminal Latent Cooling Energy,
Zone Terminal Unit Latent Cooling Rate,Zone VRF Air Terminal Latent Cooling Rate,
Zone Terminal Unit Latent Heating Energy,Zone VRF Air Terminal Latent Heating Energy,
Zone Terminal Unit Latent Heating Rate,Zone VRF Air Terminal Latent Heating Rate,
Zone Terminal Unit Sensible Cooling Energy,Zone VRF Air Terminal Sensible Cooling Energy,
Zone Terminal Unit Sensible Cooling Rate,Zone VRF Air Terminal Sensible Cooling Rate,
Zone Terminal Unit Sensible Heating Energy,Zone VRF Air Terminal Sensible Heating Energy,
Zone Terminal Unit Sensible Heating Rate,Zone VRF Air Terminal Sensible Heating Rate,
Zone Terminal Unit Total Cooling Energy,Zone VRF Air Terminal Total Cooling Energy,
Zone Terminal Unit Total Cooling Rate,Zone VRF Air Terminal Total Cooling Rate,
Zone Terminal Unit Total Heating Energy,Zone VRF Air Terminal Total Heating Energy,
Zone Terminal Unit Total Heating Rate,Zone VRF Air Terminal Total Heating Rate,
Zone Thermal Chimney Heat Gain,Zone Thermal Chimney Heat Gain Energy,
Zone Thermal Chimney Heat Loss,Zone Thermal Chimney Heat Loss Energy,
Zone Total Internal Convective Heat Gain,Zone Total Internal Convective Heating Energy,
Zone Total Internal Convective Heat Gain Rate,Zone Total Internal Convective Heating Rate,
Zone Total Internal Latent Gain,Zone Total Internal Latent Gain Energy,
Zone Total Internal Radiant Heat Gain,Zone Total Internal Radiant Heating Energy,
Zone Total Internal Radiant Heat Gain Rate,Zone Total Internal Radiant Heating Rate,
Zone Total Internal Total Heat Gain,Zone Total Internal Total Heating Energy,
Zone Total Internal Total Heat Gain Rate,Zone Total Internal Total Heating Rate,
Zone Total Internal Visible Heat Gain,Zone Total Internal Visible Radiation Heating Energy,
Zone Total Internal Visible Heat Gain Rate,Zone Total Internal Visible Radiation Heating Rate,
Zone Transmitted Solar,Zone Windows Total Transmitted Solar Radiation Rate,
Zone Transmitted Solar Energy,Zone Windows Total Transmitted Solar Radiation Energy,
Zone Ventilation Fan Electric Consumption,Zone Ventilation Fan Electric Energy,
Zone Ventilation Inlet Air Temperature,Zone Ventilation Air Inlet Temperature,
Zone Ventilation Latent Heat Gain,Zone Ventilation Latent Heat Gain Energy,
Zone Ventilation Latent Heat Loss,Zone Ventilation Latent Heat Loss Energy,
Zone Ventilation Sensible Heat Gain,Zone Ventilation Sensible Heat Gain Energy,
Zone Ventilation Sensible Heat Loss,Zone Ventilation Sensible Heat Loss Energy,
Zone Ventilation Total Heat Gain,Zone Ventilation Total Heat Gain Energy,
Zone Ventilation Total Heat Loss,Zone Ventilation Total Heat Loss Energy,
Zone Ventilation Volume Current Density,Zone Ventilation Current Density Volume,
Zone Ventilation Volume Flow Rate Current Density,Zone Ventilation Current Density Volume Flow Rate,
Zone Ventilation Volume Flow Rate Standard Density,Zone Ventilation Standard Density Volume Flow Rate,
Zone Ventilation Volume Standard Density,Zone Ventilation Standard Density Volume,
Zone Water Source Heat Pump Compressor Part-Load Ratio,Zone Water to Air Heat Pump Compressor Part Load Ratio,
Zone Water Source Heat Pump Electric Consumption,Zone Water to Air Heat Pump Electric Energy,
Zone Water Source Heat Pump Electric Power,Zone Water to Air Heat Pump Electric Power,
Zone Water Source Heat Pump Fan Availability Status,Zone Water to Air Heat Pump Fan Availability Status,
Zone Water Source Heat Pump Fan Part-Load Ratio,Zone Water to Air Heat Pump Fan Part Load Ratio,
Zone Water Source Heat Pump Latent Zone Cooling Energy,Zone Water to Air Heat Pump Latent Cooling Energy,
Zone Water Source Heat Pump Latent Zone Cooling Rate,Zone Water to Air Heat Pump Latent Cooling Rate,
Zone Water Source Heat Pump Latent Zone Heating Energy,Zone Water to Air Heat Pump Latent Heating Energy,
Zone Water Source Heat Pump Latent Zone Heating Rate,Zone Water to Air Heat Pump Latent Heating Rate,
Zone Water Source Heat Pump Sensible Zone Cooling Energy,Zone Water to Air Heat Pump Sensible Cooling Energy,
Zone Water Source Heat Pump Sensible Zone Cooling Rate,Zone Water to Air Heat Pump Sensible Cooling Rate,
